Reserve Date Station Area Status Depth MaxSna LegSna SnaKg MaxCod SnaEggs
Hahei 2May98 H98-17 NREast nR 18 0 0 0 2 0
Hahei 2May98 H98-18 NRWest nR 6 0 0 0 0 0
Hahei 2May98 H98-19 NRWest nR 14 0 0 0 0 0
Hahei 2May98 H98-20 NRWest nR 17 2 0 0.495369522 0 0
Hahei 2May98 H98-21 Outer nR 23 10 1 2.857793618 2 66641.19481
Hahei 2May98 H98-22 ResWest R 19 14 11 11.01246868 0 349822.1812
Hahei 2May98 H98-23 ResWest R 23 13 4 9.507266931 0 286109.5838
Hahei 2May98 H98-24 ResOuter R 23 8 4 4.174045395 2 123058.9773
Hahei 2May98 H98-25 ResWest R 18 7 2 2.502119092 4 59960.63037
Hahei 2May98 H98-26 ResWest R 14 12 5 8.14947953 1 242760.5484
Hahei 2May98 H98-27 ResInner R 9 14 4 5.383237782 0 138136.8915
Hahei 2May98 H98-28 ResInner R 12 12 10 13.01542386 1 434161.9118
Hahei 2May98 H98-29 ResInner R 9 0 0 0 0 0
Hahei 2May98 H98-30 Outer nR 31 2 0 0.406236356 0 0
Hahei 2May98 H98-31 ResOuter R 22 0 0 0 0 0
Hahei 2May98 H98-32 ResOuter R 19 6 5 6.557235266 0 218910.8431
Hahei 2May98 H98-33 NREast nR 11 0 0 0 0 0
Hahei 2May98 H98-34 NREast nR 10 14 0 3.549598111 0 47116.57353
Hahei 2May98 H98-35 NRWest nR 4 0 0 0 0 0
Hahei 2May98 H98-36 NRWest nR 11 0 0 0 0 0
TAWH 2May98 V98-4 13 nR 10 1 0 0.339038015 0 8630.954657
TAWH 2May98 V98-5 14 nR 14 4 0 1.504069825 0 35074.35068
TAWH 2May98 V98-16 18 nR 20 4 2 1.816583389 2 51536.75622
TAWH 2May98 V98-17 18 nR 22 1 1 0.512183575 0 15028.68308
TAWH 2May98 V98-18 17 R 15 12 6 6.424302175 0 171279.5845
TAWH 2May98 V98-19 16 R 19 1 1 1.695872851 0 58766.00184
TAWH 2May98 V98-20 16 R 9 11 10 8.063365726 0 255079.8636
TAWH 2May98 V98-21 15 R 6 10 8 5.66721228 0 159086.7223
TAWH 2May98 V98-22 14 nR 8.5 14 1 3.851346186 0 38125.08895
TAWH 2May98 V98-23 13 nR 9 9 1 2.205768272 0 24886.19131
TAWH 2May98 V98-36 17 R 21 1 0 0.251011761 3 0
TAWH 2May98 V98-37 17 R 15 12 7 6.151881266 0 175843.7784
TAWH 2May98 V98-38 16 R 15 14 10 11.0912259 3 350240.3563
TAWH 2May98 V98-39 15 R 6 5 2 2.567141681 1 70199.83062
TAWH 2May98 V98-40 15 R 8 6 6 3.71879698 0 114030.5484
TAWH 2May98 V98-41 14 nR 8 0 0 0 0 0
TAWH 2May98 V98-53 13 nR 13 5 0 0.780336934 0 0
TAWH 2May98 V98-54 13 nR 12 10 2 3.371041545 0 58847.93604
TAWH 2May98 V98-55 14 nR 8 1 0 0.316353658 0 7792.767661
TAWH 2May98 V98-56 15 R 9.5 12 7 9.64268297 0 309539.1358
TAWH 2May98 V98-57 16 R 16 1 1 0.853670952 0 27646.64166
TAWH 2May98 V98-58 17 R 18 6 6 5.156270204 0 167145.184
TAWH 2May98 V98-59 18 nR 17 4 2 2.10754227 0 58147.25026
TAWH 2May98 V98-69 18 nR 11 7 5 4.847452972 0 145233.4562
